""          ,"ABBN","ATLN","ADEN","CSGN","GIVN","HOLN","BAER","NESN","NOVN","CFR","ROG","SGSN","UHR","SREN","SCMN","SYNN","SYST","RIGN","UBSN","ZURN"
"2011-09-23",15.16 ,29.59 ,34.56 ,21.28 ,703.5 ,44.22 ,28.1  ,48.5  ,48.5  ,44.66,136.6,1360  ,343.3,38.25 ,356.9 ,234.6 ,144.4 ,46.92 ,10.12 ,169
"2011-09-26",15.25 ,29.64 ,35.67 ,22.47 ,712.5 ,45.79 ,29.11 ,49.02 ,49.12 ,44.7 ,140.1,1389  ,344.2,40.05 ,363.5 ,237.5 ,145.5 ,46.55 ,10.63 ,177.4
"2011-09-27",16.09 ,29.76 ,37.42 ,24.41 ,735   ,48.4  ,31.05 ,49.43 ,49.9  ,46.99,144.6,1440  ,352.4,42.03 ,371.6 ,246.4 ,146.2 ,47.89 ,11.26 ,188
"2011-09-28",15.87 ,30.65 ,37.15 ,24.14 ,710   ,47.04 ,31.07 ,49.5  ,50.4  ,46.3 ,144.6,1444  ,345  ,42.06 ,369.9 ,244.5 ,146.5 ,46.95 ,11.01 ,188.9
"2011-09-29",16.3  ,30.48 ,38.55 ,24.96 ,710.5 ,49    ,31.63 ,50.2  ,50.8  ,43.21,146.4,1447  ,325  ,43.7  ,372.2 ,246.5 ,147.1 ,44.45 ,11.3  ,194.3
"2011-09-30",15.77 ,30.3  ,36.17 ,24    ,711   ,48.7  ,30.7  ,50.1  ,50.8  ,40.95,147.1,1390  ,302.3,42.52 ,370.8 ,238.5 ,147   ,44.41 ,10.54 ,191
"2011-10-03",15.52 ,30.35 ,35.2  ,22.9  ,712.5 ,51.45 ,30.4  ,50.15 ,50.85 ,40.9 ,146.8,1406  ,298.5,42.25 ,369.7 ,235.4 ,147.1 ,43.67 ,10.09 ,185.3
"2011-10-04",15    ,29.89 ,34.29 ,22.1  ,710   ,51.7  ,29.59 ,50.1  ,50.35 ,40.73,146  ,1406  ,302.4,42.28 ,366   ,230   ,145.5 ,40.92 ,10.23 ,180.6
"2011-10-05",15.54 ,30.09 ,35.37 ,23.1  ,719   ,54.2  ,30.52 ,49.84 ,50.65 ,42.4 ,144.8,1407  ,316.6,43.82 ,369.5 ,238.8 ,145.6 ,41.47 ,10.5  ,187
"2011-10-06",16.17 ,30.01 ,37.9  ,24.17 ,745.5 ,54.25 ,31.7  ,50.65 ,51.55 ,43.99,146.6,1432  ,326.4,45.71 ,373.7 ,253   ,146.7 ,42.96 ,10.97 ,194.3
"2011-10-07",16.42 ,30.94 ,38.75 ,23.87 ,748   ,51.55 ,31.47 ,50.5  ,51.95 ,45   ,149.2,1452  ,331.3,45.31 ,372.9 ,250   ,146.8 ,42.98 ,10.62 ,195.8
"2011-10-10",16.99 ,30.89 ,40.51 ,24.66 ,745   ,51.7  ,32.29 ,50.7  ,52.2  ,46.39,149.7,1469  ,341.5,46.55 ,376.1 ,255   ,148.3 ,43.82 ,10.88 ,198.3
"2011-10-11",17.03 ,32.46 ,40.47 ,24.75 ,764   ,52.4  ,32.05 ,51.1  ,52.35 ,46.37,148.9,1458  ,345.3,45.56 ,371.7 ,258.4 ,147.2 ,45.29 ,10.89 ,194.7
"2011-10-12",17.47 ,33.6  ,42.54 ,25.74 ,770   ,53.55 ,32.97 ,51.25 ,52.15 ,47.48,147.5,1488  ,356.4,46    ,370.3 ,264.9 ,146.9 ,44.65 ,11.34 ,199.5
"2011-10-13",17.22 ,32.66 ,41.28 ,24.95 ,773.5 ,53.8  ,33.17 ,51.6  ,52    ,47.34,140.9,1480  ,351.7,45.76 ,371.2 ,264.7 ,146.8 ,42.61 ,10.92 ,197.9
"2011-10-14",17.36 ,33.04 ,41.51 ,24.95 ,767   ,54    ,34.67 ,52.1  ,52.2  ,47.4 ,142.7,1490  ,354  ,47.2  ,372.4 ,268.2 ,147.3 ,44.18 ,10.82 ,201.2
"2011-10-17",17.25 ,33.2  ,40.56 ,24.83 ,761   ,53.35 ,34.65 ,51.85 ,51.85 ,47.03,141.6,1482  ,350.6,46.8  ,371.6 ,264.3 ,147.2 ,45.8  ,10.62 ,199
"2011-10-18",17.16 ,33.45 ,40.45 ,23.66 ,762   ,52.4  ,34.4  ,51.5  ,51.5  ,46.88,142.6,1481  ,349.4,46.22 ,366.3 ,262.8 ,147.6 ,44.44 ,10.5  ,196.4
"2011-10-19",16.93 ,34    ,40.54 ,23.8  ,750   ,53.2  ,34.77 ,51.55 ,51.55 ,47   ,142.3,1451  ,350  ,46.36 ,366.5 ,266   ,147   ,45.9  ,10.74 ,200.4
"2011-10-20",16.41 ,30.7  ,40.87 ,22.98 ,757   ,53.4  ,33.91 ,51.3  ,51.55 ,46.45,143  ,1448  ,347.3,45.32 ,362.7 ,262.9 ,147   ,46.03 ,10.58 ,196.2
"2011-10-21",16.85 ,31.24 ,41.7  ,23.86 ,784   ,54.8  ,34.7  ,51.8  ,51.7  ,48.05,144.3,1478  ,356.4,46.93 ,369   ,269.8 ,148.5 ,48.79 ,10.99 ,200.7
"2011-10-24",17.35 ,31.92 ,42.24 ,24.64 ,793.5 ,56.4  ,35.14 ,51.45 ,51.8  ,49.35,143.2,1504  ,373.5,47.69 ,370.5 ,273.7 ,148.8 ,48.92 ,11.14 ,204.6
"2011-10-25",17.2  ,32.02 ,41.95 ,24.32 ,796.5 ,55.2  ,34.44 ,51    ,50.1  ,49.04,141.2,1503  ,366.4,47.69 ,359   ,270.8 ,148.5 ,49.5  ,11.11 ,202
"2011-10-26",17.25 ,32.32 ,41.3  ,24.35 ,788.5 ,55.25 ,34.49 ,50.8  ,49.96 ,49.2 ,142.5,1479  ,365.4,47.14 ,358.6 ,269.1 ,147.6 ,49.05 ,11.03 ,201.9
"2011-10-27",17.45 ,32.55 ,44    ,27.12 ,809   ,57.8  ,36.1  ,51    ,50    ,51.6 ,143.5,1540  ,379.7,49.27 ,364   ,273.5 ,147.7 ,50.65 ,11.92 ,210.8
"2011-10-28",17.4  ,33.17 ,45.17 ,26.77 ,811.5 ,57.75 ,35.15 ,51.35 ,50.25 ,52.5 ,145.1,1542  ,389  ,49.2  ,358.5 ,274.8 ,147.8 ,51.65 ,11.97 ,210
"2011-10-31",16.72 ,32.67 ,42.41 ,25.6  ,802   ,56    ,33.34 ,50.9  ,49.61 ,50.25,144.7,1510  ,371.6,48.23 ,354.7 ,268.5 ,147.2 ,50    ,11.21 ,203.8
"2011-11-01",15.98 ,31.27 ,39.55 ,23.5  ,788   ,52.35 ,32.25 ,50.8  ,49.2  ,47.35,142.1,1479  ,353.1,45.53 ,348.4 ,258.3 ,148.3 ,48.9  ,10.66 ,192
"2011-11-02",16.14 ,32.08 ,40    ,23.39 ,794   ,52.75 ,33.2  ,50.6  ,49.08 ,48.76,141.2,1498  ,364  ,46.2  ,348.9 ,266.5 ,148.8 ,49.5  ,10.81 ,196.3
"2011-11-03",16.68 ,32.25 ,41.05 ,23.51 ,799   ,53.65 ,34.14 ,51    ,49.56 ,49.2 ,143  ,1504  ,367.8,49    ,351.1 ,273.2 ,148.8 ,43.7  ,10.91 ,200.9
"2011-11-04",16.62 ,32.69 ,40.86 ,23.18 ,810   ,52.9  ,33.5  ,50.95 ,49.72 ,48.09,143.5,1507  ,367  ,48.15 ,351.2 ,271.8 ,148.7 ,44.33 ,10.9  ,200.5
"2011-11-07",16.67 ,32    ,39.79 ,23.2  ,804.5 ,52.25 ,33.02 ,50.7  ,49.9  ,47.8 ,142  ,1499  ,363.5,48.4  ,349.4 ,271   ,148.5 ,45.25 ,11    ,199.1
"2011-11-08",16.92 ,31.35 ,37.59 ,23.4  ,802.5 ,52.6  ,33.5  ,50.75 ,49.98 ,49.39,142.9,1515  ,367.3,49    ,352.1 ,274   ,149.8 ,45.86 ,11.19 ,201
"2011-11-09",16.5  ,31.2  ,36.46 ,22.2  ,800   ,51.05 ,32.47 ,50.6  ,49.95 ,48.21,140.8,1483  ,361.3,46.98 ,347.9 ,267.5 ,148.9 ,46.5  ,10.89 ,196.6
"2011-11-10",16.39 ,31.02 ,36.43 ,21.88 ,786   ,50.45 ,32    ,50.35 ,49.54 ,48.08,139.2,1476  ,357.8,47.38 ,346   ,269.1 ,148.7 ,45.1  ,10.7  ,196.9
"2011-11-11",16.83 ,31.53 ,37.63 ,22.55 ,803   ,50.65 ,32.34 ,50.95 ,50.15 ,48.72,140.8,1496  ,367  ,48.77 ,348.3 ,272.1 ,149.9 ,44.75 ,11.01 ,200.7
"2011-11-14",16.75 ,32    ,37.74 ,22.31 ,798   ,50.55 ,32.35 ,51.1  ,50.15 ,49.87,142  ,1501  ,370.7,48.9  ,347.9 ,270.6 ,149.9 ,45.4  ,10.95 ,200.8
"2011-11-15",16.88 ,31.5  ,37.4  ,21.43 ,803   ,50.95 ,32.25 ,51.7  ,50.45 ,49.13,142.6,1477  ,369.2,48.93 ,345.9 ,271   ,149.8 ,44.55 ,10.63 ,200
"2011-11-16",16.91 ,31.34 ,38.59 ,21.5  ,794.5 ,51.45 ,32.5  ,51.8  ,50.7  ,48.94,143.5,1504  ,361.2,48.3  ,347.1 ,270.1 ,150.3 ,45.14 ,10.8  ,201.1
"2011-11-17",16.62 ,30.7  ,38.37 ,21.17 ,786.5 ,50.2  ,31.83 ,51.9  ,50.4  ,48.12,143.3,1520  ,355.7,46.85 ,342.9 ,266.9 ,149.9 ,45.02 ,10.49 ,199.9
"2011-11-18",16.38 ,30.84 ,38.33 ,20.46 ,771   ,51.3  ,31.68 ,51.95 ,50.15 ,47.8 ,142.6,1503  ,351.3,46.1  ,340   ,261   ,149.2 ,44.45 ,10.54 ,199.2
"2011-11-21",15.71 ,29.81 ,36.35 ,20.25 ,762.5 ,49.13 ,31    ,51.5  ,49.26 ,45.25,137.2,1469  ,333.3,44.94 ,335.1 ,255.1 ,149.1 ,41.65 ,10.21 ,192.9
"2011-11-22",15.57 ,29.91 ,35.46 ,19.98 ,793   ,48.73 ,31.51 ,51.45 ,48.8  ,44.38,136.7,1466  ,329  ,45.07 ,336   ,258   ,148.5 ,41.67 ,10    ,190.5
"2011-11-23",15.32 ,29.87 ,34.95 ,19.65 ,795   ,47.57 ,30.99 ,50.6  ,48.6  ,43.8 ,136.4,1444  ,325.8,44.2  ,333.1 ,255.7 ,148.2 ,41.8  ,9.8   ,185.4
"2011-11-24",15.52 ,29.94 ,35.53 ,19.78 ,790.5 ,47.26 ,31.03 ,50.2  ,47.8  ,44.63,134.7,1434  ,331.6,43.97 ,329.4 ,252.9 ,148.2 ,41.07 ,10.01 ,184.2
"2011-11-25",15.65 ,29.68 ,35.4  ,19.91 ,798   ,47.12 ,31.54 ,50.35 ,48.1  ,45.13,136.7,1445  ,331.9,44.15 ,331.1 ,255.1 ,148.5 ,41.87 ,10.12 ,185.3
"2011-11-28",16.3  ,30.25 ,36.88 ,21.07 ,833.5 ,49.05 ,31.97 ,50.55 ,48.92 ,47.12,140.4,1463  ,343.2,46.37 ,336.8 ,261.5 ,150.1 ,42.92 ,10.53 ,193.5
"2011-11-29",16.44 ,30.13 ,37.55 ,20.98 ,842.5 ,49.2  ,31.43 ,50.7  ,48.83 ,46.73,141.6,1492  ,340.5,46.41 ,336.3 ,263   ,149.5 ,39.2  ,10.68 ,196.1
"2011-11-30",17.28 ,31.8  ,39.42 ,21.96 ,848   ,50.85 ,32.56 ,51.15 ,49.21 ,49.21,145  ,1539  ,353.7,48    ,344   ,267.6 ,150.9 ,39.47 ,11.18 ,200.1
"2011-12-01",17.08 ,32.49 ,39.78 ,21.64 ,847   ,51.45 ,33.13 ,51.5  ,49.8  ,48.85,147.3,1557  ,357.1,48.67 ,344   ,266.1 ,152.2 ,39    ,10.97 ,202.8
"2011-12-02",17.29 ,33.39 ,40.33 ,22.87 ,861   ,52.6  ,34.15 ,50.95 ,49.69 ,49.8 ,147.6,1577  ,359.8,49.38 ,341.7 ,270.8 ,152.5 ,40.55 ,11.36 ,206.2
"2011-12-05",17.46 ,33.5  ,40.07 ,23.33 ,838.5 ,53.45 ,34.42 ,51.25 ,49.63 ,50   ,147.4,1564  ,360.6,49.69 ,342.8 ,270   ,151.4 ,41.55 ,11.4  ,208.8
"2011-12-06",17.37 ,33.51 ,39.22 ,23.29 ,837   ,53.05 ,34.74 ,51.5  ,50.25 ,49.46,149.2,1550  ,358.4,49.53 ,342.5 ,271.5 ,152.9 ,41.88 ,11.47 ,208.7
"2011-12-07",17.42 ,33.46 ,39.68 ,22.97 ,845.5 ,52.95 ,34.65 ,51.65 ,50.35 ,49.68,148.8,1543  ,356.8,49.12 ,341.1 ,271.4 ,153   ,42.1  ,11.35 ,208.6
"2011-12-08",17.1  ,33.34 ,37.96 ,22.2  ,844   ,51.9  ,34.15 ,51.6  ,50.65 ,48.55,151.3,1531  ,345.7,48.6  ,342.4 ,267.1 ,153.2 ,39.95 ,11.12 ,205
"2011-12-09",17.39 ,32.98 ,38.22 ,22.98 ,852   ,52.5  ,34.8  ,51.6  ,50.9  ,49.01,154.5,1537  ,351.1,49.46 ,344.7 ,263.5 ,154.2 ,39.14 ,11.42 ,209.5
"2011-12-12",17.06 ,32.41 ,37.17 ,22.15 ,860   ,50.95 ,33.75 ,51.6  ,50.95 ,47.9 ,153.9,1519  ,341.2,47.63 ,342.9 ,264   ,154.2 ,39.6  ,11.22 ,204.3
"2011-12-13",17.19 ,32.27 ,37.4  ,21.92 ,854   ,51.45 ,34.25 ,51.55 ,51.4  ,47.35,155.6,1517  ,332.3,47.26 ,345.2 ,264.9 ,154   ,40.52 ,11.11 ,202.7
"2011-12-14",16.79 ,31.75 ,36.61 ,21.52 ,836.5 ,49.45 ,33.8  ,51.45 ,51.2  ,45.74,157.1,1529  ,326.8,46.84 ,346.6 ,261.4 ,154.9 ,38.35 ,10.95 ,201
"2011-12-15",16.74 ,31.88 ,37.65 ,21.89 ,836   ,49.31 ,34.5  ,51.65 ,52.7  ,45.69,159.7,1541  ,327.5,48.16 ,344.9 ,261.7 ,155.5 ,37.83 ,11.01 ,203.5
"2011-12-16",16.76 ,30.76 ,37.23 ,21.41 ,850   ,49.21 ,34.64 ,51.2  ,52    ,45.05,159  ,1522  ,323.9,47    ,344.8 ,259.9 ,155.7 ,37.58 ,10.86 ,203
"2011-12-19",16.8  ,30.44 ,36.46 ,21.23 ,844.5 ,49.38 ,34.59 ,52.2  ,52.8  ,44.97,158.4,1516  ,328.6,46.63 ,342.5 ,260.7 ,154.3 ,37.32 ,10.8  ,202.6
"2011-12-20",17.08 ,31.52 ,37.9  ,21.61 ,852.5 ,50.65 ,35.51 ,52.4  ,52.6  ,46.33,157.7,1535  ,338  ,47.16 ,347.6 ,267.1 ,154.8 ,37.03 ,10.92 ,205.7
"2011-12-21",16.99 ,31.51 ,38.47 ,21.65 ,855.5 ,49.8  ,35.35 ,52.7  ,52.7  ,46.98,156.3,1506  ,341.4,46.18 ,345.5 ,267.9 ,155.5 ,37.17 ,10.89 ,206.5
"2011-12-22",17.18 ,31.53 ,39.17 ,21.88 ,875   ,50.1  ,36.21 ,52.9  ,52.9  ,46.75,155.8,1525  ,344  ,46.4  ,346.6 ,269.3 ,155.5 ,37.65 ,11.23 ,207.9
"2011-12-23",17.46 ,32.13 ,39.5  ,22.29 ,882.5 ,50.05 ,37.04 ,53.2  ,53.3  ,47.27,157.6,1546  ,347.5,47.7  ,350   ,271.1 ,157   ,37.85 ,11.37 ,210
"2011-12-27",17.42 ,31.9  ,39.45 ,22.18 ,885.5 ,49.87 ,36.46 ,53.2  ,53.35 ,47.61,157.6,1540  ,349  ,47.51 ,347.8 ,271.4 ,157.7 ,37.03 ,11.22 ,210.6
"2011-12-28",17.45 ,31.77 ,39    ,21.78 ,887.5 ,49.65 ,36.98 ,53.6  ,53.45 ,47.15,159.2,1546  ,348  ,47.37 ,349.4 ,271.3 ,157.5 ,36.29 ,11.07 ,209.1
"2011-12-29",17.51 ,31.82 ,38.95 ,21.86 ,888.5 ,49.53 ,36.88 ,53.6  ,53.25 ,47.29,159.1,1541  ,347.8,47.42 ,349   ,274.3 ,157.8 ,36.64 ,11.05 ,210.2
"2011-12-30",17.68 ,32.25 ,39.35 ,22.07 ,895   ,50.25 ,36.74 ,54    ,53.7  ,47.51,159.2,1555  ,351.5,47.87 ,355.9 ,275   ,157.5 ,36.27 ,11.18 ,212.5
"2012-01-03",18.52 ,33.76 ,41.3  ,22.85 ,914   ,52.5  ,37.67 ,54.3  ,54.4  ,49.66,161.9,1588  ,364.1,49.13 ,360   ,282.5 ,157.3 ,37.43 ,11.53 ,216
"2012-01-04",18.51 ,33.55 ,41.26 ,22.8  ,909   ,52.3  ,37.28 ,54.4  ,54.5  ,49.1 ,162.7,1573  ,363.2,49.15 ,358.9 ,283.5 ,157.8 ,37.99 ,11.57 ,215.6
"2012-01-05",18.62 ,33.75 ,40.62 ,21.8  ,886   ,51.3  ,36.75 ,54.45 ,54.4  ,49.1 ,162.8,1564  ,361.3,48.75 ,353.1 ,280   ,158.4 ,37.74 ,11.19 ,214.1
"2012-01-06",18.4  ,33.51 ,41.5  ,21.4  ,878.5 ,50.75 ,35.45 ,54    ,54.7  ,49.42,164.3,1577  ,360.4,48.05 ,353   ,279.1 ,158.2 ,37.7  ,11.09 ,213.7
"2012-01-09",18.48 ,33.44 ,41.49 ,20.99 ,874.5 ,49.64 ,35.08 ,54.3  ,54.05 ,50.15,163.6,1588  ,363.8,47.81 ,351.4 ,277.8 ,158.3 ,37.62 ,10.7  ,212.2
"2012-01-10",18.75 ,32.6  ,42.16 ,21.52 ,870   ,50.85 ,35.94 ,54.8  ,54.15 ,51   ,163.2,1620  ,374.4,49.33 ,356.6 ,285   ,158.3 ,37.74 ,11.08 ,217.4
"2012-01-11",18.88 ,32.93 ,42.29 ,21.48 ,859   ,50.85 ,35.39 ,53.85 ,53.6  ,49.95,162.2,1624  ,369.4,48.98 ,356.3 ,284   ,157.9 ,38.9  ,11.12 ,219.6
"2012-01-12",19.03 ,33.65 ,42.81 ,21.68 ,864   ,51.45 ,35.85 ,53.45 ,53.35 ,50.35,163.3,1616  ,375  ,49.5  ,356.3 ,284.4 ,157.5 ,38.48 ,11.39 ,220.1
"2012-01-13",19.01 ,33.9  ,43.24 ,21.54 ,883.5 ,51.85 ,36.06 ,53.2  ,53    ,50.7 ,162  ,1633  ,372.1,48.8  ,356.1 ,285.4 ,157.4 ,38.56 ,11.38 ,218.7
"2012-01-16",19.22 ,33.99 ,42.91 ,21.39 ,875   ,51    ,36.1  ,53.05 ,53.3  ,52.1 ,164.9,1625  ,378.9,49.14 ,357.8 ,284   ,157.3 ,39    ,11.52 ,221
"2012-01-17",19.45 ,33.78 ,43    ,22.01 ,872   ,52.1  ,36.26 ,53.25 ,53.65 ,51.75,163.9,1650  ,380  ,49    ,360.9 ,287.4 ,157.9 ,39.4  ,11.52 ,222
"2012-01-18",19.69 ,34.21 ,43.42 ,22.37 ,881.5 ,52.4  ,36.76 ,53.9  ,53.95 ,52.55,165.2,1651  ,386.1,49.55 ,366.2 ,289.3 ,157.9 ,40.44 ,11.63 ,223.9
"2012-01-19",20    ,34.59 ,45.02 ,23.9  ,889.5 ,54.45 ,38.37 ,53.7  ,54.2  ,53   ,165.8,1672  ,389.2,51.6  ,366.5 ,289.3 ,157.4 ,42.1  ,12.57 ,226.8
"2012-01-20",19.72 ,34.97 ,44.5  ,24.25 ,880   ,54    ,37.93 ,53.55 ,52.05 ,52.95,163.2,1659  ,386.5,51.3  ,368.3 ,288.8 ,157.5 ,41.71 ,12.65 ,226
"2012-01-23",19.85 ,35.17 ,44.88 ,24.61 ,881   ,54.9  ,38.49 ,53.25 ,51.6  ,53.05,163  ,1663  ,388  ,52.25 ,367.7 ,288.4 ,156.8 ,41.83 ,12.89 ,229.7
"2012-01-24",19.39 ,34.81 ,44    ,24.48 ,869.5 ,54.15 ,38.17 ,53.65 ,52    ,52.75,164.6,1651  ,387.9,52.4  ,360.2 ,290.2 ,157.4 ,42.83 ,12.66 ,227.8
"2012-01-25",19.34 ,35.32 ,43.9  ,24.27 ,865   ,55.05 ,38.9  ,53.6  ,50.7  ,52.4 ,160  ,1641  ,389  ,51.5  ,359.7 ,286.4 ,156.8 ,42.84 ,12.72 ,227.4
"2012-01-26",19.63 ,35.84 ,44.69 ,24.68 ,864.5 ,56.55 ,39.3  ,53.45 ,50.4  ,52.9 ,160.2,1664  ,398.3,52.55 ,362.3 ,287.4 ,156.3 ,43.45 ,12.99 ,229.8
"2012-01-27",19.43 ,35.65 ,44.01 ,24.46 ,865.5 ,55.55 ,38.45 ,53.1  ,49.8  ,52.6 ,157.1,1641  ,394.5,51.5  ,363.1 ,284.9 ,156.3 ,43.83 ,12.87 ,224.7
"2012-01-30",19.04 ,34.68 ,43.5  ,23.76 ,854   ,53.35 ,37.28 ,53.2  ,49.82 ,51.3 ,155.3,1625  ,384.1,50.1  ,362.5 ,281.6 ,155.8 ,42.95 ,12.48 ,222.2
"2012-01-31",19.22 ,35.25 ,43.63 ,23.88 ,859.5 ,52.45 ,37.4  ,52.75 ,49.8  ,52.1 ,155.8,1652  ,387.8,49.93 ,363.3 ,278.4 ,156.8 ,43.64 ,12.53 ,221
"2012-02-01",19.81 ,35.51 ,46.61 ,24.96 ,893   ,54.15 ,38.34 ,53.4  ,50.9  ,54.15,153.4,1693  ,406.5,51.45 ,368.5 ,282.9 ,157.4 ,43.82 ,12.96 ,223.1
"2012-02-02",19.84 ,35.8  ,46.72 ,25.04 ,870   ,55.6  ,37.9  ,52.8  ,51    ,54.85,153  ,1688  ,409.5,51.8  ,368.5 ,285   ,156.5 ,44.7  ,12.99 ,222.7
"2012-02-03",20.12 ,36.37 ,48.43 ,25.71 ,874.5 ,56.1  ,37.85 ,53.15 ,51.35 ,55.55,156.9,1699  ,417.7,52.6  ,371.9 ,290   ,157.6 ,45.32 ,13.45 ,227.6
"2012-02-06",19.96 ,36.42 ,47.55 ,25.16 ,877.5 ,56.75 ,36.4  ,53.1  ,51.7  ,55.3 ,158  ,1693  ,414.7,52.8  ,373.8 ,290.1 ,156.9 ,45.3  ,13.21 ,227.5
"2012-02-07",19.7  ,36.2  ,47.05 ,25    ,888.5 ,56.7  ,35.82 ,53.55 ,51.65 ,53.9 ,161  ,1695  ,398.3,53.25 ,376   ,293.9 ,156.4 ,44.83 ,13.02 ,229.5
"2012-02-08",19.65 ,36.2  ,46.5  ,25.23 ,886.5 ,56.6  ,36.1  ,53.5  ,51.3  ,53.4 ,162.3,1695  ,394.2,53.25 ,374.9 ,291.8 ,156.3 ,45    ,13.1  ,230.4
"2012-02-09",19.82 ,35.38 ,46.31 ,24.35 ,882.5 ,57.05 ,36.8  ,53.65 ,51.4  ,53   ,163.5,1696  ,398  ,53.2  ,371.1 ,296.4 ,156.2 ,45.63 ,13.09 ,231.4
"2012-02-10",19.73 ,34.95 ,45.8  ,23.64 ,882   ,56    ,37.52 ,53.65 ,51.2  ,53   ,162.3,1688  ,397.2,52    ,365   ,292.2 ,156.6 ,46.9  ,12.73 ,229.1
"2012-02-13",19.81 ,35.45 ,45.7  ,24    ,871.5 ,56.25 ,37.57 ,54    ,51.75 ,53.15,164.2,1698  ,400  ,52.5  ,369.8 ,292.6 ,156.9 ,44.99 ,12.93 ,233
"2012-02-14",19.7  ,33.37 ,45.87 ,23.52 ,883.5 ,55.75 ,37.5  ,54.25 ,51.8  ,53.35,162.2,1712  ,401.2,53.1  ,367.6 ,289.8 ,157.6 ,44.03 ,12.9  ,234
"2012-02-15",19.92 ,34    ,47    ,23.76 ,887   ,55.85 ,38.35 ,54.45 ,52.05 ,54.1 ,162.4,1721  ,410.4,53.7  ,360.6 ,290.4 ,157.6 ,45.35 ,13    ,233
"2012-02-16",19.2  ,34.29 ,46.56 ,23.86 ,899   ,56    ,38.39 ,55.6  ,51.95 ,54.35,162.4,1720  ,410.6,53.45 ,360.9 ,290   ,157.7 ,44.98 ,13.1  ,232.7
"2012-02-17",19.32 ,34.89 ,46.56 ,24.55 ,890   ,58.6  ,37.3  ,55.85 ,52    ,54.5 ,161.8,1705  ,408.2,53.8  ,363.4 ,291.4 ,157.4 ,45.92 ,13.09 ,232.5
"2012-02-20",19.29 ,35    ,47.3  ,25.27 ,899.5 ,60    ,37.6  ,55.7  ,51.75 ,55.2 ,161.6,1706  ,413.2,54.3  ,363.3 ,296.2 ,157.4 ,43.57 ,13.3  ,229.5
"2012-02-21",19.04 ,35.16 ,46.56 ,25.21 ,878   ,59.75 ,36.66 ,55.55 ,52.4  ,54.8 ,161.6,1695  ,412.2,54.45 ,365.2 ,294.5 ,157.2 ,45.35 ,13.19 ,225.8
"2012-02-22",18.9  ,34.66 ,46.19 ,24.84 ,878.5 ,58.7  ,36.26 ,55.55 ,52.2  ,54.9 ,159.2,1692  ,409.3,53    ,361.9 ,299.8 ,157.1 ,45.06 ,12.75 ,223.6
"2012-02-23",18.8  ,34.52 ,45.71 ,24.51 ,874.5 ,58.5  ,36.41 ,55.55 ,52.15 ,55.2 ,160.4,1705  ,408.5,54.4  ,361.3 ,300.4 ,157.3 ,45.59 ,12.78 ,223.8
